,date,average_hits,hits_grade
468,2019-02-07,0,0.0
476,2019-02-15,0,0.0
820,2020-01-25,0,0.0
821,2020-01-26,0,0.0
590,2019-06-09,0,0.0
822,2020-01-27,0,0.0
588,2019-06-07,0,0.0
120,2018-02-24,0,0.0
824,2020-01-29,0,0.0
100,2018-02-04,0,0.0
825,2020-01-30,0,0.0
277,2018-07-31,0,0.0
826,2020-01-31,0,0.0
459,2019-01-29,0,0.0
526,2019-04-06,0,0.0
161,2018-04-06,0,0.0
461,2019-01-31,0,0.0
464,2019-02-03,0,0.0
706,2019-10-03,0,0.0
466,2019-02-05,0,0.0
115,2018-02-19,0,0.0
552,2019-05-02,0,0.0
674,2019-09-01,0,0.0
841,2020-02-15,0,0.0
471,2019-02-10,0,0.0
472,2019-02-11,0,0.0
473,2019-02-12,0,0.0
474,2019-02-13,0,0.0
430,2018-12-31,0,0.0
429,2018-12-30,0,0.0
707,2019-10-04,0,0.0
309,2018-09-01,0,0.0
112,2018-02-16,0,0.0
646,2019-08-04,0,0.0
869,2020-03-14,0,0.0
110,2018-02-14,0,0.0
291,2018-08-14,0,0.0
292,2018-08-15,0,0.0
109,2018-02-13,0,0.0
708,2019-10-05,0,0.0
116,2018-02-20,0,0.0
106,2018-02-10,0,0.0
525,2019-04-05,0,0.0
117,2018-02-21,0,0.0
339,2018-10-01,0,0.0
118,2018-02-22,0,0.0
687,2019-09-14,0,0.0
342,2018-10-04,0,0.0
119,2018-02-23,0,0.0
796,2020-01-01,0,0.0
340,2018-10-02,0,0.0
95,2018-01-30,0,0.0
661,2019-08-19,0,0.0
884,2020-03-29,0,0.0
343,2018-10-05,0,0.0
919,2020-05-03,93,6.51
932,2020-05-16,99,6.93
881,2020-03-26,104,7.28
923,2020-05-07,107,7.49
892,2020-04-06,121,8.47
911,2020-04-25,122,8.54
921,2020-05-05,126,8.82
889,2020-04-03,133,9.31
905,2020-04-19,134,9.38
893,2020-04-07,134,9.38
897,2020-04-11,135,9.45
913,2020-04-27,135,9.45
901,2020-04-15,136,9.52
710,2019-10-07,137,9.59
648,2019-08-06,138,9.66
498,2019-03-09,144,10.08
908,2020-04-22,148,10.36
925,2020-05-09,151,10.57
887,2020-04-01,152,10.64
638,2019-07-27,153,10.71
888,2020-04-02,153,10.71
906,2020-04-20,155,10.85
885,2020-03-30,157,10.99
878,2020-03-23,160,11.2
883,2020-03-28,162,11.34
604,2019-06-23,162,11.34
904,2020-04-18,163,11.41
890,2020-04-04,165,11.55
926,2020-05-10,166,11.62
807,2020-01-12,166,11.62
439,2019-01-09,168,11.76
873,2020-03-18,169,11.83
808,2020-01-13,172,12.04
816,2020-01-21,172,12.04
659,2019-08-17,174,12.18
917,2020-05-01,174,12.18
688,2019-09-15,176,12.32
709,2019-10-06,176,12.32
880,2020-03-25,176,12.32
758,2019-11-24,177,12.39
786,2019-12-22,177,12.39
772,2019-12-08,178,12.46
93,2018-01-28,179,12.53
867,2020-03-12,179,12.53
896,2020-04-10,179,12.53
898,2020-04-12,181,12.67
653,2019-08-11,182,12.74
726,2019-10-23,183,12.81
649,2019-08-07,186,13.02
931,2020-05-15,186,13.02
775,2019-12-11,189,13.23
891,2020-04-05,189,13.23
739,2019-11-05,190,13.3
927,2020-05-11,192,13.44
768,2019-12-04,194,13.58
838,2020-02-12,194,13.58
637,2019-07-26,198,13.86
871,2020-03-16,199,13.93
673,2019-08-31,202,14.14
918,2020-05-02,204,14.28
777,2019-12-13,207,14.49
534,2019-04-14,209,14.63
762,2019-11-28,210,14.7
773,2019-12-09,210,14.7
870,2020-03-15,212,14.84
678,2019-09-05,215,15.05
811,2020-01-16,217,15.19
755,2019-11-21,217,15.19
643,2019-08-01,220,15.4
359,2018-10-21,222,15.54
233,2018-06-17,224,15.68
849,2020-02-23,226,15.82
554,2019-05-04,226,15.82
379,2018-11-10,227,15.89
469,2019-02-08,229,16.03
868,2020-03-13,229,16.03
332,2018-09-24,230,16.1
752,2019-11-18,231,16.17
426,2018-12-27,233,16.31
915,2020-04-29,235,16.45
642,2019-07-31,236,16.52
790,2019-12-26,236,16.52
435,2019-01-05,237,16.59
352,2018-10-14,237,16.59
281,2018-08-04,237,16.59
727,2019-10-24,239,16.73
743,2019-11-09,242,16.94
813,2020-01-18,244,17.08
666,2019-08-24,246,17.22
569,2019-05-19,247,17.29
276,2018-07-30,247,17.29
351,2018-10-13,248,17.36
619,2019-07-08,248,17.36
753,2019-11-19,249,17.43
370,2018-11-01,250,17.5
655,2019-08-13,250,17.5
833,2020-02-07,252,17.64
740,2019-11-06,255,17.85
573,2019-05-23,255,17.85
246,2018-06-30,256,17.92
803,2020-01-08,256,17.92
861,2020-03-06,256,17.92
746,2019-11-12,257,17.99
656,2019-08-14,257,17.99
597,2019-06-16,258,18.06
422,2018-12-23,258,18.06
705,2019-10-02,258,18.06
557,2019-05-07,259,18.13
629,2019-07-18,260,18.2
831,2020-02-05,261,18.27
456,2019-01-26,261,18.27
513,2019-03-24,261,18.27
589,2019-06-08,261,18.27
877,2020-03-22,267,18.69
757,2019-11-23,269,18.83
895,2020-04-09,269,18.83
484,2019-02-23,270,18.9
857,2020-03-02,271,18.97
353,2018-10-15,272,19.04
765,2019-12-01,273,19.11
254,2018-07-08,276,19.32
728,2019-10-25,277,19.39
463,2019-02-02,278,19.46
499,2019-03-10,278,19.46
856,2020-03-01,279,19.53
701,2019-09-28,279,19.53
720,2019-10-17,280,19.6
628,2019-07-17,280,19.6
613,2019-07-02,281,19.67
274,2018-07-28,281,19.67
764,2019-11-30,281,19.67
817,2020-01-22,282,19.74
446,2019-01-16,282,19.74
531,2019-04-11,283,19.81
734,2019-10-31,284,19.88
860,2020-03-05,285,19.95
561,2019-05-11,287,20.09
724,2019-10-21,288,20.16
514,2019-03-25,290,20.3
387,2018-11-18,290,20.3
770,2019-12-06,291,20.37
618,2019-07-07,292,20.44
449,2019-01-19,293,20.51
127,2018-03-03,293,20.51
576,2019-05-26,293,20.51
444,2019-01-14,293,20.51
855,2020-02-29,294,20.58
612,2019-07-01,294,20.58
769,2019-12-05,294,20.58
404,2018-12-05,294,20.58
520,2019-03-31,296,20.72
664,2019-08-22,297,20.79
866,2020-03-11,297,20.79
741,2019-11-07,298,20.86
636,2019-07-25,300,21.0
735,2019-11-01,300,21.0
460,2019-01-30,300,21.0
477,2019-02-16,304,21.28
234,2018-06-18,304,21.28
601,2019-06-20,304,21.28
850,2020-02-24,304,21.28
737,2019-11-03,305,21.35
275,2018-07-29,307,21.49
641,2019-07-30,307,21.49
317,2018-09-09,307,21.49
363,2018-10-25,307,21.49
485,2019-02-24,308,21.56
135,2018-03-11,308,21.56
402,2018-12-03,311,21.77
413,2018-12-14,311,21.77
730,2019-10-27,312,21.84
388,2018-11-19,315,22.05
595,2019-06-14,315,22.05
496,2019-03-07,315,22.05
528,2019-04-08,316,22.12
433,2019-01-03,318,22.26
462,2019-02-01,321,22.47
732,2019-10-29,322,22.54
296,2018-08-19,322,22.54
373,2018-11-04,323,22.61
697,2019-09-24,324,22.68
341,2018-10-03,325,22.75
391,2018-11-22,325,22.75
345,2018-10-07,325,22.75
751,2019-11-17,326,22.82
784,2019-12-20,327,22.89
287,2018-08-10,328,22.96
722,2019-10-19,329,23.03
615,2019-07-04,330,23.1
519,2019-03-30,330,23.1
558,2019-05-08,330,23.1
366,2018-10-28,330,23.1
377,2018-11-08,331,23.17
748,2019-11-14,332,23.24
540,2019-04-20,333,23.31
934,2020-05-18,334,23.38
490,2019-03-01,336,23.52
280,2018-08-03,336,23.52
694,2019-09-21,336,23.52
565,2019-05-15,336,23.52
610,2019-06-29,337,23.59
562,2019-05-12,338,23.66
798,2020-01-03,338,23.66
858,2020-03-03,341,23.87
299,2018-08-22,344,24.08
644,2019-08-02,345,24.15
799,2020-01-04,347,24.29
665,2019-08-23,348,24.36
380,2018-11-11,348,24.36
266,2018-07-20,348,24.36
555,2019-05-05,349,24.43
750,2019-11-16,350,24.5
330,2018-09-22,350,24.5
787,2019-12-23,351,24.57
434,2019-01-04,352,24.64
421,2018-12-22,353,24.71
718,2019-10-15,355,24.85
286,2018-08-09,356,24.92
541,2019-04-21,356,24.92
876,2020-03-21,357,24.99
417,2018-12-18,357,24.99
690,2019-09-17,357,24.99
593,2019-06-12,358,25.06
840,2020-02-14,358,25.06
651,2019-08-09,360,25.2
427,2018-12-28,361,25.27
270,2018-07-24,362,25.34
491,2019-03-02,363,25.41
371,2018-11-02,363,25.41
295,2018-08-18,364,25.48
782,2019-12-18,365,25.55
517,2019-03-28,366,25.62
566,2019-05-16,366,25.62
771,2019-12-07,370,25.9
912,2020-04-26,371,25.97
766,2019-12-02,371,25.97
508,2019-03-19,371,25.97
680,2019-09-07,372,26.04
920,2020-05-04,372,26.04
425,2018-12-26,374,26.18
441,2019-01-11,375,26.25
767,2019-12-03,375,26.25
279,2018-08-02,375,26.25
537,2019-04-17,375,26.25
744,2019-11-10,376,26.32
627,2019-07-16,376,26.32
188,2018-05-03,376,26.32
791,2019-12-27,380,26.6
575,2019-05-25,380,26.6
267,2018-07-21,381,26.67
699,2019-09-26,384,26.88
574,2019-05-24,387,27.09
538,2019-04-18,389,27.23
273,2018-07-27,391,27.37
507,2019-03-18,391,27.37
194,2018-05-09,391,27.37
842,2020-02-16,392,27.44
847,2020-02-21,396,27.72
654,2019-08-12,397,27.79
289,2018-08-12,397,27.79
214,2018-05-29,399,27.93
211,2018-05-26,400,28.0
356,2018-10-18,401,28.07
378,2018-11-09,401,28.07
560,2019-05-10,401,28.07
606,2019-06-25,402,28.14
572,2019-05-22,403,28.21
293,2018-08-16,406,28.42
587,2019-06-06,406,28.42
131,2018-03-07,408,28.56
172,2018-04-17,408,28.56
372,2018-11-03,412,28.84
763,2019-11-29,412,28.84
582,2019-06-01,412,28.84
872,2020-03-17,412,28.84
198,2018-05-13,412,28.84
91,2018-01-26,414,28.98
793,2019-12-29,416,29.12
212,2018-05-27,416,29.12
731,2019-10-28,418,29.26
672,2019-08-30,418,29.26
316,2018-09-08,418,29.26
836,2020-02-10,419,29.33
66,2018-01-01,420,29.4
721,2019-10-18,420,29.4
567,2019-05-17,421,29.47
29,2017-11-25,422,29.54
623,2019-07-12,422,29.54
747,2019-11-13,422,29.54
605,2019-06-24,422,29.54
759,2019-11-25,423,29.61
99,2018-02-03,423,29.61
492,2019-03-03,424,29.68
162,2018-04-07,425,29.75
408,2018-12-09,426,29.82
414,2018-12-15,427,29.89
516,2019-03-27,427,29.89
617,2019-07-06,427,29.89
630,2019-07-19,428,29.96
584,2019-06-03,429,30.03
846,2020-02-20,429,30.03
733,2019-10-30,429,30.03
264,2018-07-18,430,30.1
207,2018-05-22,430,30.1
754,2019-11-20,430,30.1
130,2018-03-06,431,30.17
72,2018-01-07,431,30.17
586,2019-06-05,432,30.24
608,2019-06-27,432,30.24
182,2018-04-27,432,30.24
263,2018-07-17,433,30.31
547,2019-04-27,433,30.31
693,2019-09-20,435,30.45
667,2019-08-25,435,30.45
311,2018-09-03,435,30.45
577,2019-05-27,439,30.73
864,2020-03-09,440,30.8
916,2020-04-30,441,30.87
411,2018-12-12,441,30.87
494,2019-03-05,442,30.94
335,2018-09-27,442,30.94
358,2018-10-20,442,30.94
568,2019-05-18,443,31.01
318,2018-09-10,443,31.01
20,2017-11-16,444,31.08
324,2018-09-16,445,31.15
700,2019-09-27,447,31.29
174,2018-04-19,448,31.36
361,2018-10-23,451,31.57
153,2018-03-29,451,31.57
228,2018-06-12,453,31.71
203,2018-05-18,454,31.78
223,2018-06-07,454,31.78
65,2017-12-31,454,31.78
385,2018-11-16,456,31.92
783,2019-12-19,459,32.13
658,2019-08-16,459,32.13
148,2018-03-24,459,32.13
328,2018-09-20,460,32.2
331,2018-09-23,460,32.2
393,2018-11-24,462,32.34
406,2018-12-07,466,32.62
365,2018-10-27,467,32.69
69,2018-01-04,467,32.69
742,2019-11-08,468,32.76
621,2019-07-10,470,32.9
457,2019-01-27,470,32.9
684,2019-09-11,472,33.04
553,2019-05-03,472,33.04
221,2018-06-05,472,33.04
792,2019-12-28,472,33.04
506,2019-03-17,472,33.04
583,2019-06-02,474,33.18
344,2018-10-06,474,33.18
714,2019-10-11,476,33.32
384,2018-11-15,477,33.39
686,2019-09-13,477,33.39
903,2020-04-17,478,33.46
103,2018-02-07,478,33.46
542,2019-04-22,478,33.46
639,2019-07-28,482,33.74
149,2018-03-25,482,33.74
236,2018-06-20,483,33.81
801,2020-01-06,484,33.88
804,2020-01-09,485,33.95
745,2019-11-11,485,33.95
420,2018-12-21,486,34.02
761,2019-11-27,486,34.02
564,2019-05-14,488,34.16
164,2018-04-09,488,34.16
809,2020-01-14,488,34.16
195,2018-05-10,488,34.16
559,2019-05-09,490,34.3
780,2019-12-16,490,34.3
186,2018-05-01,490,34.3
839,2020-02-13,491,34.37
319,2018-09-11,491,34.37
776,2019-12-12,492,34.44
545,2019-04-25,493,34.51
208,2018-05-23,493,34.51
736,2019-11-02,494,34.58
121,2018-02-25,497,34.79
134,2018-03-10,497,34.79
924,2020-05-08,498,34.86
479,2019-02-18,498,34.86
930,2020-05-14,500,35.0
272,2018-07-26,500,35.0
255,2018-07-09,501,35.07
6,2017-11-02,503,35.21
269,2018-07-23,503,35.21
703,2019-09-30,504,35.28
580,2019-05-30,505,35.35
145,2018-03-21,506,35.42
504,2019-03-15,507,35.49
167,2018-04-12,509,35.63
137,2018-03-13,510,35.7
875,2020-03-20,513,35.91
7,2017-11-03,513,35.91
235,2018-06-19,515,36.05
521,2019-04-01,515,36.05
362,2018-10-24,516,36.12
533,2019-04-13,517,36.19
696,2019-09-23,517,36.19
349,2018-10-11,519,36.33
381,2018-11-12,519,36.33
346,2018-10-08,522,36.54
500,2019-03-11,522,36.54
410,2018-12-11,523,36.61
407,2018-12-08,524,36.68
184,2018-04-29,526,36.82
632,2019-07-21,527,36.89
37,2017-12-03,527,36.89
92,2018-01-27,528,36.96
12,2017-11-08,529,37.03
307,2018-08-30,529,37.03
13,2017-11-09,529,37.03
394,2018-11-25,530,37.1
634,2019-07-23,532,37.24
